井号,渗透性类型,岩性,井型,造斜点深度(m),生产时间(h),日产液(t),日产油(t),日产水(t),日产气(m3),含水率(%),油压(Mpa),套压(Mpa),动液面(m),泵径(mm),泵深(m),冲程(m),冲次(n/min),泵效(%),抽油机机型,额定载荷(kN),悬点载荷最大值(kN),悬点载荷最小值(kN),电机型号,电机额定功率(kW),平衡度,日耗电量(kW·h),输入功率(kW),地面效率(%),井下效率(%),系统效率(%),泵况分析结果,沉没度(m),抽油机负载率(%),电机功率利用率(%),百米吨液耗电(kW.h),K1,K2,节能限定值,节能评价值,对标结果
Test_148,低渗透,砂岩,直井,,24,4.41,0.97,3.44,0,78.0045351474,0.5,0,2297,38,2307.89,4.8,4,18.31,CYJW12-4.8-73HF,120,89.3,59.1,Y280M-8,45,0.39,179.98,7.5,35.38,43.01,15.22,供液不足,10.89,74.42,16.67,1.78,1.4,1.05,12.24,19.73,达标
Test_149,低渗透,砂岩,砂岩,,24,12.39,1.89,10.5,0,84.7457627119,0.5,0,709,38,2101.94,4.8,4,40.76,CYJW12-4.8-73HF,120,75.66,55.93,YCCH280-8,30,1.64,221.53,9.23,49.77,22.81,11.35,不知,1392.94,63.05,30.77,2.52,1.4,1.05,12.24,19.73,不达标
Test_150,低渗透,砂岩,定向井,2575,24,2.09,1.06,1.03,0,49.2822966507,0.4,0,2295,32,2305.82,3,4,16.98,CYJS12-5-73HB,120,84.2,47.2,YCCH280-8,30,5.53,172.83,7.2,60.22,11.96,7.2,供液不足,10.82,70.17,24,3.6,1.4,1.05,12.24,19.73,不达标
Test_151,低渗透,砂岩,定向井,2550,24,4.37,1.62,2.75,0,62.9290617849,0.4,0,2288,38,2298.27,5,4,14.13,CYJS12-5-73HB,120,101.3,41.9,YCCH280-8,30,0.96,286.47,11.94,69.6,13.24,9.21,供液不足,10.27,84.42,39.8,2.87,1.4,1.05,12.24,19.73,不达标
Test_152,低渗透,砂岩,定向井,400,24,7.64,4.58,3.06,0,40.0523560209,0.4,0,2292,32,2302.14,5,4,34.78,CYJS12-5-73HB,120,83.5,53.6,YCCH280-8,30,0.72,240.68,10.03,37.7,49.5,18.66,供液不足,10.14,69.58,33.43,1.37,1.4,1.05,12.24,19.73,达标
Test_153,低渗透,砂岩,定向井,2750,24,2.34,0.91,1.43,0,61.1111111111,0.5,0,2296,38,2306.57,3,4,13.25,CYJS12-5-73HB,120,55,43.9,YCCH280-8,30,0.77,123.37,5.14,16.97,67.89,11.52,供液不足,10.57,45.83,17.13,2.3,1.4,1.05,12.24,19.73,不达标
Test_154,低渗透,砂岩,定向井,825,24,2.31,1.71,0.6,0,25.974025974,0.5,0,1853,38,2196.42,3,4,12.26,CYJS12-5-73HB,120,80.5,39.5,YCCH280-8,30,2.24,251.23,10.47,50.15,8.73,4.38,油管漏失,343.42,67.08,34.9,5.87,1.4,1.05,12.24,19.73,不达标
Test_155,低渗透,砂岩,定向井,450,24,4.78,2.38,2.4,0,50.2092050209,0.5,0,2285,38,2295.58,4,4,23.14,CYJS12-5-73HB,120,88.1,48.7,YCCH280-8,30,1,171.49,7.15,38.87,42.76,16.62,供液不足,10.58,73.42,23.83,1.57,1.4,1.05,12.24,19.73,达标
Test_156,低渗透,砂岩,定向井,325,24,16.39,1.09,15.3,0,93.3496034167,0.5,0,1293,38,2003.04,4.8,3.5,63.4,CYJW12-4.8-73HF,120,72.8,39.7,Y280M-8,45,0.87,266.11,11.09,44.79,49.87,22.34,工作正常,710.04,60.67,24.64,1.26,1.4,1.05,12.24,19.73,优良
Test_157,低渗透,砂岩,定向井,500,24,6.8,6.19,0.61,0,8.9705882353,0.5,0,2223,38,2301.58,4,3,38.76,CYJS12-5-73HB,120,95.6,46.7,YCCH280-8,30,1.81,332.45,13.85,49.2,23.19,11.41,供液不足,78.58,79.67,46.17,2.2,1.4,1.05,12.24,19.73,不达标
Test_158,低渗透,砂岩,定向井,325,24,7.29,6.56,0.73,0,10.0137174211,0.5,0,2245,38,2296.34,4,4,35.07,CYJS12-5-73HB,120,52.3,5.4,YCCH280-8,30,0.89,184.62,7.69,56.65,39.31,22.27,供液不足,51.34,43.58,25.63,1.13,1.4,1.05,12.24,19.73,优良
